date,actual,qso_prediction
2023-12-02,13395134771,13395135000.0
2023-12-03,13395134914,13395135000.0
2023-12-04,13395135109,13395135000.0
2023-12-05,13395135113,13395135000.0
2023-12-06,13395134760,13395135000.0
2023-12-07,13395134976,13395135000.0
2023-12-08,13395134896,13395135000.0
2023-12-09,13395134776,13395135000.0
2023-12-10,13395134968,13395135000.0
2023-12-11,13395135103,13395135000.0
2023-12-12,13395134789,13395135000.0
2023-12-13,13395135002,13395135000.0
2023-12-14,13395135021,13395135000.0
2023-12-15,13395134765,13395135000.0
2023-12-16,13395134964,13395135000.0
2023-12-17,13395135015,13395135000.0
2023-12-18,13395135024,13395135000.0
2023-12-19,13395134835,13395135000.0
2023-12-20,13395135022,13395135000.0
2023-12-21,13395135105,13395135000.0
2023-12-22,13395135055,13395135000.0
2023-12-23,13395135042,13395135000.0
2023-12-24,13395134885,13395135000.0
2023-12-25,13395134742,13395135000.0
2023-12-26,13395134773,13395135000.0
2023-12-27,13395134930,13395135000.0
2023-12-28,13395134787,13395135000.0
2023-12-29,13395134755,13395135000.0
2023-12-30,13395134910,13395135000.0
2023-12-31,13395134958,13395135000.0
