date,actual,prophet,lstm,hybrid
2023-12-02,13395134771,13395139958.023659,13395135000.0,13395137723.01183
2023-12-03,13395134914,13395139456.37086,13395135000.0,13395137472.185429
2023-12-04,13395135109,13395138816.748722,13395135000.0,13395137152.374361
2023-12-05,13395135113,13395138062.426836,13395135000.0,13395136775.213417
2023-12-06,13395134760,13395137196.539457,13395135000.0,13395136342.26973
2023-12-07,13395134976,13395136084.43135,13395135000.0,13395135786.215675
2023-12-08,13395134896,13395134845.06212,13395135000.0,13395135166.53106
2023-12-09,13395134776,13395133378.764034,13395135000.0,13395134433.382017
2023-12-10,13395134968,13395131666.816753,13395135000.0,13395133577.408377
2023-12-11,13395135103,13395129714.312164,13395135000.0,13395132601.156082
2023-12-12,13395134789,13395127549.021479,13395135000.0,13395131518.510738
2023-12-13,13395135002,13395125180.018814,13395135000.0,13395130334.009407
2023-12-14,13395135021,13395122479.955233,13395135000.0,13395128983.977615
2023-12-15,13395134765,13395119576.361242,13395135000.0,13395127532.180622
2023-12-16,13395134964,13395116379.27456,13395135000.0,13395125933.63728
2023-12-17,13395135015,13395112880.659084,13395135000.0,13395124184.329542
2023-12-18,13395135024,13395109097.091423,13395135000.0,13395122292.545712
2023-12-19,13395134835,13395105068.430983,13395135000.0,13395120278.215492
2023-12-20,13395135022,13395100816.232073,13395135000.0,13395118152.116035
2023-12-21,13395135105,13395096225.796717,13395135000.0,13395115856.898357
2023-12-22,13395135055,13395091437.251137,13395135000.0,13395113462.625568
2023-12-23,13395135042,13395086372.947874,13395135000.0,13395110930.473938
2023-12-24,13395134885,13395081036.664616,13395135000.0,13395108262.332308
2023-12-25,13395134742,13395075456.081238,13395135000.0,13395105472.040619
2023-12-26,13395134773,13395069681.255785,13395135000.0,13395102584.627892
2023-12-27,13395134930,13395063742.862482,13395135000.0,13395099615.43124
2023-12-28,13395134787,13395057534.094393,13395135000.0,13395096511.047195
2023-12-29,13395134755,13395051201.617178,13395135000.0,13395093344.80859
2023-12-30,13395134910,13395044672.878733,13395135000.0,13395090080.439365
2023-12-31,13395134958,13395037955.247793,13395135000.0,13395086721.623898
